#Obs_ID	Date(UT)	UV_mag_AB	mag_error	Exposure (s)	Count_rate(10^-3 count/s)	count_rate_error	Exposure (s)
#============================================================================================================================================
#AstroSat	-	UVIT_F148W	-		SXT(0.3-2.0)keV	-	
#----------------------------------------------------------------------------------------
12176017	2019-11-21.73	21.88	0.28	1485	13.4	2	4510
12176018	2019-11-22.72	21.7	0.38	565	3.5	1.2	3162
12176020	2019-11-25.19	> 22.19	-	506	< 21.6	-	514
#----------------------------------------------------------------------------------------
13849001	2020-10-31.36	19.17	0.09	593	< 38.6	-	986
13849002	2020-11-01.92	20.2	0.15	597	< 38.8	-	986
13849003	2020-11-01.42	20.2	0.15	480	< 37.3	-	1039
13849004	2020-11-02.77	20.53	0.2	398	< 17.6	-	2105
13849005	2020-11-03.69	21.16	0.23	773	< 4.3	-	3439
13849006	2020-11-05.38	-	-	960	20.6	3.2	2680
13849007	2020-11-05.88	21.3	0.18	1680	29.8	2.5	5934
13849008	2020-11-06.82	21.05	0.25	505	14.2	2.8	2330
13849009	2020-11-07.94	21.64	0.34	673	41.3	3.7	3731
13849010	2020-11-08.87	20.99	0.16	1378	39.5	4.3	3596
13849011	2020-11-09.87	21.3	0.25	762	< 36.0		1036
13849012	2020-11-10.99	> 22.68	-	1356	38.6	4.3	2777
13849013	2020-11-11.72	21.48	0.26	880	32.4	3.3	3644
13849014	2020-11-12.93	21.93	0.29	1654	16.9	2.3	3674
13849015	2020-11-14.14	-	-	781	16.5	4.2	1149
13849016	2020-11-15.12	21.53	0.2	1619	6.9	2	2362
13849017	2020-11-15.71	22.22	0.39	1260	5	2.2	1319
13849018	2020-11-16.83	> 22.03	-	408	< 7.6	-	2780
13849019	2020-11-18.17	22.2	0.35	1509	< 3.5	-	4607
13849020	2020-11-19.11	> 22.64	-	1213	< 8.2	-	4533
#----------------------------------------------------------------------------------------
14920001	2021-11-15.05	19.4	0.09	976	< 38.5	-	989
14920002	2021-11-16.05	20.02	0.15	407	< 4.2	-	1009
14920003	2021-11-16.92	20.73	0.13	1580	< 23.0	-	1601
14920004	2021-11-17.65	20.58	0.12	1664	< 20.2	-	1845
14920005	2021-11-18.58	20.51	0.12	1639	< 4.2 	-	5531
14920006	2021-11-19.76	> 20.44	-	46	25.1	3.4	2802
14920007	2021-11-20.56	20.95	0.15	1641	15	2	4717
14920008	2021-11-21.56	21.68	0.23	1619	38.1	4.2	2710
14920009	2021-11-22.69	21.31	0.21	1087	23.1	2.8	3966
14920010	2021-11-23.55	21.6	0.22	1630	18.5	2.5	3956
14920011	2021-11-24.54	> 21.75	-	348	25.7	3.6	2420
14920012	2021-11-25.53	21.82	0.27	1461	29.4	3.1	3971
14920013	2021-11-26.54	21.88	0.27	1668	24.4	2.7	4023
14920014	2021-11-27.59	21.64	0.3	941	19.7	2.5	4106
14920015	2021-11-28.59	22.39	0.49	1012	< 2.9	-	3259
14920016	2021-11-29.53	> 22.12	-	464	6.3	1.5	3781
14920017	2021-11-30.91	> 22.79	-	1466	< 6.1	-	5954
14920018	2021-12-01.71	22.17	0.32	1662	< 3.3	-	5472
14920019	2021-12-02.77	22.08	0.39	954	< 4.6	-	3301
#----------------------------------------------------------------------------------------
10498022	2022-12-03.75	18.73	0.07	976	< 39.2	-	989
10498023	2022-12-04.47	19.62	0.1	998	< 38.0	-	989
10498024	2022-12-05.46	20.4	0.14	967	< 38.5	-	979
10498025	2022-12-05.61	20.31	0.13	937	< 39.9	-	949
10498026	2022-12-06.07	20.47	0.12	521	< 27.7	-	1396
10498027	2022-12-07.05	20.89	0.1	1279	3.4	1	5219
10498028	2022-12-08.12	20.9	0.12	551	7.7	2	2510
10498029	2022-12-09.05	21.49	0.16	574	26.5	3.2	3219
10498030	2022-12-10.04	21.47	0.17	810	29.3	3.6	2839
10498031	2022-12-11.50	21.09	0.17	1601	49.9	6.1	1621
10498032	2022-12-12.30	21.34	0.19	1661	33.2	4.9	1681
10498033	2022-12-13.02	21.72	0.24	930	33.5	4.7	1905
10498034	2022-12-14.28	21.57	0.22	1625	39.9	5.5	1646
10498035	2022-12-15.20	>20.79	-	167	-	-	170
10498036	2022-12-16.21	21.94	0.29	1640	22.3	4.1	1661
10498037	2022-12-17.27	>22.26	-	1505	27.4	4.7	1521
10498038	2022-12-18.19	21.98	0.3	1615	18.8	3.8	1636
10498039	2022-12-19.25	22.43	0.34	1615	7.9	2	2695
10498040	2022-12-20.38	21.95	0.29	1617	< 4.6	-	1638
10498041	2022-12-21.24	22.32	0.31	1069	< 13.6	-	2764
10498042	2022-12-22.10	>22.51	-	1607	< 33.0	-	1126
#----------------------------------------------------------------------------------------
10498043	2023-12-05.67	18.83	0.05	996	< 37.93	-	1009
10498044	2023-12-06.53	19.71	0.07	1012	< 37.20	-	1026
10498045	2023-12-10.17	20.66	0.12	1025	< 13.76	-	2602
10498045	2023-12-10.31	20.69	0.15	585	-	-	-
10498045	2023-12-10.49	21.20	0.32	375	-	-	-
10498045	2023-12-10.84	20.95	0.20	548	-	-	-
10498046	2023-12-11.42	>20.84	-	170	24.06	4.9	1336
10498046	2023-12-11.62	21.20	0.18	1054	-	-	-
10498047	2023-12-12.41	21.76	0.53	340	22.29	4.6	1271
10498047	2023-12-12.88	21.00	0.19	576	-	-	-
10498047	2023-12-12.95	21.49	0.39	325	-	-	-
10498048	2023-12-13.27	21.35	0.17	1419	29.60	3.9	2700
10498048	2023-12-13.33	21.68	0.25	1285	-	-	-
10498049	2023-12-14.59	21.44	0.18	1555	42.09	4.2	2924
10498049	2023-12-14.66	21.54	0.20	1330	-	-	-
10498052	2023-12-19.35	21.38	0.26	569	23.34	3.8	2080
10498053	2023-12-19.42	>21.94	-	858	< 50.34	-	734
10498053	2023-12-19.48	>21.82	-	624	-	-	-
10498055	2023-12-22.11	21.67	0.22	1670	8.1	1.8	3886
10498056	2023-12-23.17	>21.57	-	456	< 6.61	-	4443
10498056	2023-12-23.37	21.71	0.21	1677	-	-	-
10498056	2023-12-23.43	>22.37	0.46	1684	-	-	-
10498057	2023-12-24.36	21.73	0.21	1637	< 4.19	-	5034
10498057	2023-12-24.42	22.53	0.43	1661	-	-	-
10498057	2023-12-24.55	22.24	0.32	1662	-	-	-
#----------------------------------------------------------------------------------------
32613203	2024-12-13.86	18.97	0.05	1051	< 36.5	-	1066
32613204	2024-12-14.83	19.84	0.09	972	< 39.7	-	986
32613207	2024-12-15.36	20.44	0.18	395	< 22.7	-	1671
32613207	2024-12-15.56	20.34	0.14	506	-	-	-
32613207	2024-12-15.63	20.55	0.13	742	-	-	-
32613208	2024-12-16.08	20.76	0.18	625	< 17.5	-	2153
32613208	2024-12-16.61	20.32	0.11	780	-	-	-
32613208	2024-12-16.00	20.47	0.15	716	-	-	-
32613209	2024-12-17.06	20.70	0.19	634	< 14.1	-	2642
32613209	2024-12-17.33	20.45	0.15	475	-	-	-
32613209	2024-12-17.51	20.64	0.33	272	-	-	-
32613209	2024-12-17.65	21.11	0.16	1222	-	-	-
32613210	2024-12-18.12	20.56	0.18	377	13.68	1.99	5257
32613210	2024-12-18.50	21.52	0.19	1696	-	-	-
32613210	2024-12-18.57	21.46	0.18	1703	-	-	-
32613210	2024-12-18.64	21.90	0.27	1410	-	-	-
32613211	2024-12-19.09	21.09	0.17	1043	24.50	2.70	4405
32613211	2024-12-19.35	>21.43	-	487	-	-	-
32613211	2024-12-19.48	21.31	0.18	1406	-	-	-
32613211	2024-12-19.55	>21.03	-	187	-	-	-
32613211	2024-12-19.68	20.99	0.15	1221	-	-	-
32613212	2024-12-20.39	21.44	0.30	750	38.38	3.60	3661
32613212	2024-12-20.46	21.22	0.17	1635	-	-	-
32613212	2024-12-20.66	21.13	0.17	1229	-	-	-
32613213	2024-12-21.51	21.58	0.20	1682	38.35	3.77	3366
32613213	2024-12-21.58	21.31	0.16	1639	-	-	-
32613214	2024-12-22.10	21.65	0.22	1635	23.21	2.76	3796
32613214	2024-12-22.49	21.32	0.27	460	-	-	-
