M31N	RA	DEC	UVIT field	Each Epoch detection	Discovery JD	MAG	MAG_err	Filt	T2	T2_err	alternative names	F148W mag	F148W err	F148W upper limit	F172M mag	F172M err	F172M upper limit	F169M mag	F169M err	F169M upper limit	N219M mag	N219M err	N219M upper limit	N279N mag	N279N err	N279N upper limit
1926-07b	00 : 42 : 35.00	 + 41 : 16 : 39.9	1	N	2424700.6	17.5		pg			[H29] N064, M31 V0849	99	99	23.116	99	99	22.388	99	99	22.497	99	99	21.778	99	99	21.116
1926-07a	00 : 42 : 44.73	 + 41 : 14 : 11.8	1	N	2424700.6	17.3		pg			[H29] N063, M31 V0906	99	99	23.17	99	99	22.274	99	99	22.478	99	99	21.735	99	99	21.041
1926-06a	00 : 41 : 40.66	 + 41 : 03 : 33.7	3	N	2424671.65	17.4		pg			[H29] N062, M31 V0665	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
1926-01a	00 : 42 : 40.11	 + 41 : 14 : 26.8	1	N	2424522.3	16.8		pg			[H29] N061, M31 V0875	99	99	23.199	99	99	22.172	99	99	22.204	99	99	21.733	99	99	21.055
1925-11b	00 : 44 : 33.49	 + 41 : 30 : 54.3	2	N	2424475.3	16.5		pg			[H29] N060, M31 V1117	99	99	23.48	99	99	21.484				99	99	22.012	99	99	21.334
1925-11a	00 : 42 : 15.76	 + 41 : 06 : 06.1	1	N	2424465.35	16.5		pg			[H29] N059, M31 V0752	99	99	24.01	99	99	23.038	99	99	22.626	99	99	22.083	99	99	21.526
1925-10a	00 : 42 : 27.05	 + 41 : 12 : 55.0	1	N	2424433.3	17.4		pg			[H29] N057, M31 V0801	99	99	23.64	99	99	22.711	99	99	22.93	99	99	22.083	99	99	21.526
1925-09b	00 : 41 : 46.65	 + 41 : 25 : 39.5	4	N	2424413.6	17		pg			[H29] N056, M31 V0682	99	99	23.237	99	99	22.382				99	99	22.517	99	99	22.202
1925-10b	00 : 42 : 57.80	 + 41 : 16 : 29.6	1	N	2424405.7	17.5		pg			[H29] N058, M31 V0980	99	99	23.494	99	99	22.498	99	99	22.798	99	99	22.009	99	99	21.455
1925-09a	00 : 43 : 36.56	 + 41 : 31 : 56.2	2	N	2424405.7	15.3		pg			[H29] N054, M31 V1077	99	99	23.518	99	99	21.484				99	99	22.012	99	99	21.334
1925-08a	00 : 42 : 38.80	 + 41 : 13 : 15.8	1	N	2424377.45	17.1		pg			[H29] N052, M31 V0867	99	99	23.408	99	99	22.491	99	99	22.52	99	99	22.009	99	99	21.254
1925-07d	00 : 42 : 15.37	 + 41 : 07 : 43.1	1	N	2424348.55	18		pg			[H29] N051, M31 V0749	99	99	23.955	99	99	23.349	99	99	22.626	99	99	22.083	99	99	21.526
1925-07c	00 : 43 : 55.28	 + 41 : 21 : 28.4	1	N	2424348.55	17.2		pg			[H29] N049, M31 V1099	99	99	23.743	99	99	21.484	99	99	22.626	99	99	22.012	99	99	21.334
1925-07b	00 : 42 : 30.85	 + 41 : 11 : 47.9	1	N	2424348.55	17.3		pg			[H29] N055, M31 V0819	99	99	23.717	99	99	23.147	99	99	22.945	99	99	22.083	99	99	21.526
1925-07a	00 : 43 : 23.07	 + 41 : 27 : 31.3	1	N	2424348.55	17.6		pg			[H29] N050, M31 V1059	99	99	23.264	99	99	21.484	99	99	22.626	99	99	22.083	99	99	21.334
1925-06c	00 : 43 : 10.49	 + 41 : 22 : 45.4	1	N	2424319.6	17.5		pg			[H29] N047, M31 V1035	99	99	24.007	99	99	23.384	99	99	22.626	99	99	22.083	99	99	21.526
1925-06b	00 : 42 : 52.79	 + 41 : 18 : 17.7	1	N	2424319.6	18.2		pg			[H29] N053, M31 V0953	99	99	23.384	99	99	22.746	99	99	22.608	99	99	21.759	99	99	21.045
1925-06a	00 : 41 : 36.08	 + 41 : 03 : 11.6	3	N	2424319.6	17		pg			[H29] N048, M31 V0647	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
1925-01e	00 : 43 : 26.05	 + 41 : 06 : 36.2	1	N	2424177.35	17.5		pg			[H29] N045, M31 V1064	99	99	24.028	99	99	23.228	99	99	22.626	99	99	22.083	99	99	21.526
1925-01d	00 : 42 : 30.36	 + 41 : 12 : 37.0	1	N	2424177.35	16.8		pg			[H29] N043, M31 V0817	99	99	23.635	99	99	22.94	99	99	22.94	99	99	22.083	99	99	21.458
1925-01c	00 : 43 : 09.36	 + 41 : 03 : 11.4	1	N	2424170.3	16.5		pg			[H29] N044, M31 V1033	99	99	22.264	99	99	22.373	99	99	22.626	99	99	22.434	99	99	22.307
1925-01b	00 : 42 : 27.56	 + 41 : 14 : 08.0	1	N	2424168.35	16.4		pg			[H29] N042, M31 V0803	99	99	23.541	99	99	22.56	99	99	22.93	99	99	22.038	99	99	21.488
1925-01a	00 : 42 : 55.41	 + 41 : 20 : 55.6	1	N	2424168.35	17.1		pg			[H29] N041, M31 V0962	99	99	23.79	99	99	22.857	99	99	22.626	99	99	22.083	99	99	21.526
1924-11a	00 : 43 : 14.60	 + 41 : 06 : 40.4	1	N	2424059.4	17.5		pg			[H29] N040, M31 V1044	99	99	23.983	99	99	23.232	99	99	22.626	99	99	22.083	99	99	21.526
1924-09a	00 : 45 : 28.03	 + 41 : 32 : 59.6	13	N	2424054.5	16.6		pg			[H29] N037, M31 V1163	99	99	23.261	99	99	22.209				99	99	22.536	99	99	22.381
1924-08c	00 : 43 : 01.00	 + 41 : 14 : 25.6	1	N	2424028.5	16.2		pg			[H29] N034, M31 V0999	99	99	23.603	99	99	23.038	99	99	22.951	99	99	22.003	99	99	21.526
1924-08b	00 : 42 : 29.98	 + 41 : 17 : 16.0	1	N	2424023.4	17.1		pg			[H29] N033, M31 V0816	99	99	23.563	99	99	22.918	99	99	22.93	99	99	22.082	99	99	21.464
1924-08a	00 : 42 : 31.49	 + 41 : 15 : 25.4	1	N	2424023.4	16.8		pg			[H29] N035, M31 V0827	99	99	23.404	99	99	22.48	99	99	22.557	99	99	21.717	99	99	21.001
1924-07a	00 : 42 : 25.63	 + 41 : 10 : 33.0	1	N	2423969.55	16.4		pg			[H29] N032, M31 V0795	99	99	23.889	99	99	23.059	99	99	22.626	99	99	22.083	99	99	21.526
1924-02a	00 : 42 : 36.13	 + 41 : 03 : 50.9	1	N	2423816.3	17.2		pg			[H29] N030, M31 V0857	99	99	24.104	99	99	24.172	99	99	22.626	99	99	22.083	99	99	21.526
1924-01a	00 : 42 : 56.18	 + 41 : 14 : 31.6	1	N	2423816.3	16.8		pg			[H29] N031, M31 V0970	99	99	23.596	99	99	22.721	99	99	22.77	99	99	22.005	99	99	21.526
1923-12c	00 : 42 : 38.07	 + 41 : 08 : 41.4	1	N	2423765.45	17.5		pg			[H29] N029, M31 V0865	99	99	24.045	99	99	22.874	99	99	22.626	99	99	22.083	99	99	21.526
1923-12b	00 : 43 : 19.40	 + 41 : 18 : 07.3	1	N	2423765.45	16.2		pg			[H29] N028, M31 V1054	99	99	23.797	99	99	22.973	99	99	22.626	99	99	22.083	99	99	21.526
1923-12a	00 : 41 : 57.09	 + 41 : 23 : 36.4	1	N	2423765.45	17.2		pg			[H29] N027, M31 V0702	99	99	23.237	99	99	22.382	99	99	22.626	99	99	22.517	99	99	22.202
1923-10b	00 : 42 : 03.11	 + 41 : 06 : 48.3	1	N	2423697.55	17.3		pg			[H29] N025, M31 V0723	99	99	22.833	99	99	22.069	99	99	22.626	99	99	22.362	99	99	21.869
1923-10a	00 : 42 : 23.93	 + 41 : 13 : 17.0	1	N	2423697.55	17.2		pg			[H29] N024, M31 V0783	99	99	23.7	99	99	22.865	99	99	22.939	99	99	22.083	99	99	21.526
1923-08a	00 : 42 : 26.77	 + 41 : 16 : 27.0	1	N	2423639.8	17.1		pg			[H29] N023, M31 V0798	99	99	23.656	99	99	22.931	99	99	22.925	99	99	22.083	99	99	21.464
1923-02a	00 : 42 : 50.03	 + 41 : 17 : 20.9	1	N	2423466.3	16.9		pg			[H29] N022, M31 V0939	99	99	23.008	99	99	22.227	99	99	22.174	99	99	21.584	99	99	21.018
1922-10a	00 : 42 : 59.84	 + 41 : 22 : 45.6	1	N	2423344.4	17.9		pg			[H29] N082, M31 V0992	99	99	23.94	99	99	23.18	99	99	22.626	99	99	22.083	99	99	21.526
1922-07a	00 : 42 : 11.44	 + 41 : 05 : 39.2	1	N	2423256.6	17.5		pg			[H29] N084, M31 V0739	99	99	24.21	99	99	23.387	99	99	22.626	99	99	22.083	99	99	21.526
1922-06a	00 : 43 : 06.75	 + 41 : 19 : 05.5	1	N	2423204.6	17.5		pg			[H29] N021, M31 V1024	99	99	23.661	99	99	22.844	99	99	22.947	99	99	22.083	99	99	21.526
1921-08a	00 : 42 : 45.62	 + 41 : 12 : 21.8	1	N	2422903.4	17.6		pg			[H29] N083, M31 V0913	99	99	23.432	99	99	22.794	99	99	22.762	99	99	22.002	99	99	21.454
1920-12c	00 : 42 : 56.60	 + 41 : 17 : 44.6	1	N	2422669.3	17.6		pg			[H29] N020, M31 V0972	99	99	23.572	99	99	22.451	99	99	22.697	99	99	22.046	99	99	21.448
1920-12b	00 : 42 : 45.42	 + 41 : 13 : 16.8	1	N	2422669.3	15.9		pg			[H29] N019, M31 V0911	99	99	23.465	99	99	22.84	99	99	22.729	99	99	22.005	99	99	21.254
1920-12a	00 : 43 : 57.43	 + 41 : 14 : 54.8	1	N	2422669.3	16.7		pg			[H29] N081, M31 V1100	99	99	23.264	99	99	22.499	99	99	22.626	99	99	22.083	99	99	21.526
1920-10a	00 : 42 : 38.92	 + 41 : 17 : 03.8	1	N	2422608.5	17.2		pg			[H29] N018, M31 V0868	99	99	23.122	99	99	22.322	99	99	22.496	99	99	21.676	99	99	20.767
1920-09a	00 : 42 : 23.14	 + 41 : 15 : 30.0	1	N	2422545.6	17.5		pg			[H29] N080, M31 V0777	99	99	23.653	99	99	22.813	99	99	22.626	99	99	22.083	99	99	21.471
1919-10a	00 : 42 : 45.66	 + 41 : 18 : 44.8	1	N	2422262.4	15.8		pg			[H29] N017, M31 V0912	99	99	23.529	99	99	22.635	99	99	22.631	99	99	22.098	99	99	21.464
1919-09a	00 : 43 : 28.65	 + 41 : 21 : 42.1	1	N	2422223.5	17.6		pg			[H29] N086, M31 V1067	99	99	24.052	99	99	23.22	99	99	22.626	99	99	22.083	99	99	21.526
1919-08a	00 : 42 : 29.26	 + 41 : 13 : 22.0	1	N	2422195.5	17.1		pg			[H29] N016, M31 V0813	99	99	23.606	99	99	22.978	99	99	22.667	99	99	22.03	99	99	21.526
1919-07a	00 : 43 : 07.82	 + 41 : 13 : 04.5	1	N	2422161.6	16.1		pg			[H29] N014, M31 V1027	99	99	23.898	99	99	23.193	99	99	22.626	99	99	22.083	99	99	21.526
1919-07b	00 : 42 : 31.80	 + 41 : 18 : 49.4	1	N	2422138.7	17.4		pg			[H29] N015, M31 V0826	99	99	24.052	99	99	22.868	99	99	22.626	99	99	22.083	99	99	21.526
1919-01b	00 : 42 : 25.13	 + 41 : 11 : 27.0	1	N	2421963.23	17.2		pg			[H29] N013, M31 V0793	99	99	23.724	99	99	24.42	99	99	22.626	99	99	22.083	99	99	21.526
1919-01a	00 : 42 : 37.23	 + 41 : 19 : 59.9	1	N	2421963.23	17		pg			[H29] N012, M31 V0861	99	99	24.008	99	99	24.467	99	99	22.626	99	99	22.083	99	99	21.526
1918-10b	00 : 42 : 43.60	 + 41 : 10 : 12.8	1	N	2421874.4	17.6		pg			[H29] N011, M31 V0899	99	99	23.875	99	99	23.252	99	99	22.626	99	99	22.083	99	99	21.526
1918-10a	00 : 42 : 54.93	 + 41 : 23 : 31.6	1	N	2421874.4	17.4		pg			[H29] N010, M31 V0961	99	99	24.031	99	99	23.363	99	99	22.626	99	99	22.083	99	99	21.526
1918-02b	00 : 43 : 23.76	 + 41 : 21 : 34.5	1	N	2421634.3	17.5		pg			[H29] N009, M31 V1060	99	99	23.986	99	99	23.172	99	99	22.626	99	99	22.083	99	99	21.526
1918-02a	00 : 42 : 34.09	 + 41 : 15 : 26.9	1	N	2421634.3	17.4		pg			[H29] N008, M31 V0841	99	99	23.178	99	99	22.267	99	99	22.502	99	99	21.635	99	99	21.083
1918-01a	00 : 42 : 32.19	 + 41 : 16 : 19.9	1	N	2421609.3	17.1		pg			[H29] N007, M31 V0828	99	99	23.372	99	99	22.782	99	99	22.568	99	99	21.782	99	99	21.237
1917-12a	00 : 43 : 55.45	 + 41 : 19 : 33.8	1	N	2421575.4	17.4		pg			[H29] N085, M31 V1098	99	99	23.264	99	99	22.499	99	99	22.626	99	99	22.083	99	99	21.526
1917-11a	00 : 42 : 58.62	 + 41 : 20 : 34.6	1	N	2421547.5	16.5		pg			[H29] N006, M31 V0985	99	99	23.735	99	99	23.151	99	99	22.626	99	99	22.083	99	99	21.526
1917-10a	00 : 42 : 42.10	 + 41 : 11 : 46.8	1	N	2421515.5	17.3		pg			[H29] N005, M31 V0888	99	99	23.637	99	99	23.088	99	99	22.951	99	99	22.083	99	99	21.526
1917-09a	00 : 43 : 16.62	 + 41 : 24 : 13.3	1	N	2421483.45	17.5		pg			[H29] N004, M31 V1047	99	99	24.097	99	99	24.716	99	99	22.626	99	99	22.083	99	99	21.526
1909-09c	00 : 42 : 27.06	 + 41 : 15 : 32.0	1	N	2418562.7	17.1		pg			[H29] N003, M31 V0800	99	99	23.486	99	99	22.735	99	99	22.805	99	99	22.083	99	99	21.526
1909-09b	00 : 42 : 27.48	 + 41 : 13 : 32.4	1	N	2418562.7	16.7		pg			[H29] N002, M31 V0804	99	99	23.666	99	99	23.053	99	99	22.948	99	99	22.077	99	99	21.464
1909-09a	00 : 42 : 34.34	 + 40 : 57 : 25.4	3	N	2418562.7	18.7		pg			[H29] N038, M31 V0846	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
