M31N	RA	DEC	UVIT field	Each Epoch detection	Discovery JD	MAG	MAG_err	Filt	T2	T2_err	alternative names	F148W mag	F148W err	F148W upper limit	F172M mag	F172M err	F172M upper limit	F169M mag	F169M err	F169M upper limit	N219M mag	N219M err	N219M upper limit	N279N mag	N279N err	N279N upper limit
2021-03a	00 : 42 : 34.49	 + 41 : 17 : 29.8	1	Y	2459188.68	18.3		w			PNV J00423449+4117298 XM52MZ AT2020abqz	23.884	0.152	99	99	99	22.547	99	99	22.929	99	99	22.079	99	99	21.462
2021-02c	00 : 42 : 04.23	 + 40 : 42 : 33.6	16	N	2459262.07	16.5		w			AT2021dcd PNV J00420424+4042336 XM51MZ	99	99	24.13				99	99	23.662						
2021-02b	00 : 42 : 48.28	 + 41 : 19 : 37.5	1	N	2459255.45	17.3		r			AT2021clj PNV J00424827+4119374 XN02JR	99	99	23.716	99	99	22.75	99	99	22.626	99	99	22.083	99	99	21.526
2021-02a	00 : 43 : 46.40	 + 41 : 33 : 40.4	2	N	2459249.08	16.8		w			AT2021boa PNV J00434645+4133408 XM50MZ	99	99	23.466	99	99	21.484				99	99	22.012	99	99	21.334
2021-01a	00 : 42 : 52.18	 + 41 : 16 : 24.5	1	N	2459241.22	16		g			AT2021bfs PNV J00425220+4116246	99	99	22.98	99	99	22.329	99	99	22.092	99	99	21.596	99	99	20.641
2020-11f	00 : 40 : 19.74	 + 40 : 49 : 35.3	14	N	2459173.33	15.7		R			AT2020aapw PNV J00401974+4049360	99	99	22.79				99	99	22.609						
2020-11e	00 : 42 : 48.51	 + 41 : 17 : 03.9	1	N	2459169.26	17		R			PNV J00424851+4117039 AT2020aafw	99	99	22.842	99	99	21.909	99	99	22.066	99	99	21.544	99	99	20.622
2020-11d	00 : 39 : 30.08	 + 40 : 31 : 00.2	14	N	2459162.11	17.8		w			PNV J00393008+4031002 AT2020aabh	99	99	22.79				99	99	22.474						
2020-11c	00 : 43 : 13.15	 + 41 : 24 : 56.0	1	Y	2459159.24	15.9		o			AT2020yye PNV J00431313+4124567	20.232	0.031	99	99	99	23.215	99	99	22.626	99	99	22.083	99	99	21.526
2020-11b	00 : 42 : 57.74	 + 41 : 08 : 12.2	1	N	2459157.08	16.7		w			RN M31N 1963-09c AT2020yug XN01JR	99	99	23.962	99	99	24.166	99	99	22.626	99	99	22.083	99	99	21.526
2020-11a	00 : 42 : 46.79	 + 41 : 07 : 03.1	1	Y	2459155.08	17.2		R			AT2020ypu XM43MZ PNV J00424677+4107031	23.257	0.083	99	99	99	23.513	99	99	22.626	99	99	22.083	99	99	21.526
2020-10f	00 : 42 : 20.17	 + 41 : 14 : 28.0	1	Y	2459154.53	16.3		R			AT2020yky XM42MZ PNV J00422016+4114285	21.991	0.042	99	99	99	23.122	99	99	22.626	99	99	22.083	99	99	21.48
2020-10g	00 : 45 : 28.80	 + 41 : 54 : 10.0	8	N	2459153.33	18.3		w			RN M31N 2008-12a	99	99	22.942	99	99	24.354				99	99	22.055	99	99	21.441
2020-10e	00 : 42 : 37.35	 + 41 : 20 : 52.2	1	N	2459144.24	16.3		R	4		AT2020xyv XM41MZ PNV J00423733+4120519	99	99	24.019	99	99	23.18	99	99	22.626	99	99	22.083	99	99	21.526
2020-10c	00 : 42 : 49.61	 + 41 : 16 : 52.2	1	N	2459130.15	14.1		R			AT2020vak PNV J00424960+4116523 XM37MZ	99	99	22.786	99	99	21.877	99	99	22.018	99	99	21.617	99	99	20.528
2020-10b	00 : 42 : 30.67	 + 41 : 21 : 28.5	1	Y	2459127.23	18.5		R			AT2020uyd PNV J00423071+4121276 XM36MZ	22.755	0.066	99	22.099	0.162	99	22.116	0.143	99	21.878	0.208	99	21.703	0.281	99
2020-10a	00 : 40 : 31.09	 + 40 : 35 : 53.9	14	N	2459124.79	17		r			AT2020urd ZTF20acgigfo	99	99	22.789				99	99	22.474						
2020-09c	00 : 43 : 08.38	 + 41 : 08 : 50.0	1	Y	2459121.79	17		r			PNV J00430842+4108501 AT2020ulv	22.962	0.067	99	99	99	24.247	99	99	22.626	99	99	22.083	99	99	21.526
2020-09b	00 : 42 : 46.30	 + 41 : 13 : 35.5	1	Y	2459117.2	17.2		w			AT2020ubx XM35MZ PNV J00424630+4113355	24.488	0.207	99	99	99	22.444	99	99	22.728	99	99	21.823	99	99	21.056
2020-09a	00 : 41 : 35.41	 + 40 : 50 : 14.6	3	N	2459104.91	18.9		o			AT2020tvc ZTF20abzbtgm	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2020-10d	00 : 42 : 36.20	 + 41 : 20 : 35.5	1	Y	2459101.18	19.5		w			AT2020wuo XM39MZ PNV J00423620+4120355	23.784	0.108	99	22.637	0.187	99	23.35	0.273	99	99	99	22.083	99	99	21.526
2020-08a	00 : 41 : 59.60	 + 41 : 00 : 48.5	3	N	2459065.94	17.7		w			AT2020qxo XM32MZ PNV J00415960+4100485	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2020-06a	00 : 45 : 32.23	 + 42 : 23 : 01.1	11	N	2459021.19	17.1		w			PNV J00453223+4223011	99	99	23.267	99	99	22.314				99	99	22.543	99	99	22.397
2020-06b	00 : 42 : 23.47	 + 41 : 08 : 22.8	1	N	2459008.37	15.8		G			PNV J00422347+4108228 AT2020lye	99	99	24.037	99	99	23.428	99	99	22.626	99	99	22.083	99	99	21.526
2020-04e	00 : 42 : 08.52	 + 41 : 06 : 14.7	1	N	2458961.61	16.8		R			PNV J00420852+4106147	99	99	24.163	99	99	23.407	99	99	22.626	99	99	22.083	99	99	21.526
2020-03d	00 : 43 : 14.38	 + 41 : 16 : 29.0	1	N	2458932.28	15.8		R			PNV J00431438+4116290	99	99	23.708	99	99	22.921	99	99	22.95	99	99	22.083	99	99	21.526
2020-03c	00 : 42 : 52.18	 + 41 : 13 : 37.0	1	N	2458924.27	16.7		w			AT2020emi PNV J00425218+4113370	99	99	23.573	99	99	22.91	99	99	22.768	99	99	22.007	99	99	21.423
2020-03e	00 : 43 : 37.52	 + 42 : 02 : 44.1	10	N	2458919.98	15.5		w			AT2020ema	99	99	22.877	99	99	22.168				99	99	22.783			
2020-03b	00 : 42 : 46.13	 + 41 : 11 : 36.0	1	N	2458916.94	16.6		w			PNV J00424612+4111362 AT2020efn XM27MZ	99	99	23.669	99	99	23.028	99	99	22.933	99	99	22.083	99	99	21.526
2020-03a	00 : 42 : 08.56	 + 41 : 26 : 00.8	1	N	2458913.26	18		w			AT2020dzr PNV J00420856+4126008	99	99	23.237	99	99	22.382	99	99	22.498	99	99	22.517	99	99	22.202
2020-02a	00 : 42 : 48.82	 + 41 : 18 : 43.0	1	N	2458895.05	19.2		w			AT2020cqi XM26MZ PNV J00424882+4118430	99	99	23.472	99	99	22.612	99	99	22.761	99	99	22.056	99	99	21.286
2020-01b	00 : 42 : 52.34	 + 41 : 16 : 13.1	1	N	2458877.04	17.4	0.15	R	11.4	2.5	AT2020ber XM24MZ PNV J00425232+4116128	99	99	22.961	99	99	22.37	99	99	22.604	99	99	21.614	99	99	20.68
2020-01a	00 : 43 : 57.15	 + 41 : 11 : 36.8	1	N	2458864.88	17.6		w			TCP J00435715+4111368	99	99	23.264	99	99	22.499	99	99	22.626	99	99	22.083	99	99	21.526
2020-01c	00 : 44 : 08.57	 + 41 : 16 : 38.0	7	N	2458862.34	19.4		w			AT2020aaf MASTER OT J004408.57+411638.0	99	99	22.926	99	99	22.255				99	99	22.233	99	99	22.087
2020-01d	00 : 41 : 48.99	 + 41 : 05 : 22.6	3	N	2458850.02	19.8		w			AT2020B XM22MZ	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2019-12e	00 : 42 : 53.37	 + 41 : 14 : 26.7	1	N	2458847.13	18.7		w			TCP J00425337+4114267 XMNGS3	99	99	23.504	99	99	22.676	99	99	22.535	99	99	21.837	99	99	21.474
2019-12c	00 : 42 : 47.02	 + 41 : 24 : 38.8	1	N	2458837.06	19.1		R			PNV J00424702+4124388	99	99	24.111	99	99	23.387	99	99	22.626	99	99	22.083	99	99	21.526
2019-12b	00 : 42 : 20.47	 + 41 : 15 : 00.0	1	Y	2458833.09	17.4		w			AT2019wvf PNV J00422050+4114599	23.759	0.108	99	23.071	0.183	99	99	99	22.626	99	99	22.083	99	99	21.526
2019-12d	00 : 37 : 46.97	 + 40 : 36 : 00.1	18	N	2458830.79	17.1		o			AT2019wlo ATLAS19bdda	99	99	23.952				99	99	24.743						
2019-12a	00 : 39 : 55.41	 + 40 : 46 : 01.2	14	N	2458828.62	18		r			AT2019wkp ZTF19acxrihd	99	99	22.79				99	99	22.474						
2019-11e	00 : 43 : 30.01	 + 41 : 07 : 27.9	1	N	2458816.13	19.4		w			AT2019vxp XM19MZ	99	99	24.016	99	99	24.691	99	99	22.626	99	99	22.083	99	99	21.526
2019-11f	00 : 42 : 51.76	 + 41 : 11 : 26.6	1	Y	2458814.16	19.5		w			AT2019vzu PNV J00425176+4111266	23.23	0.103	99	23.144	0.205	99	22.598	0.213	99	99	99	22.083	99	99	21.526
2019-11d	00 : 41 : 42.38	 + 41 : 21 : 31.1	4	N	2458805.11	19.5		w			AT2019vsn TCP J00414238+4121311	99	99	23.326	99	99	22.199				99	99	22.486	99	99	22.266
2019-11b	00 : 45 : 28.88	 + 41 : 54 : 09.7	8	N	2458794.21	18.2		R			RN M31N 2008-12a	99	99	22.983	99	99	24.405				99	99	22.055	99	99	21.441
2019-11c	00 : 44 : 25.13	 + 41 : 33 : 18.1	2	N	2458793.62	18.8		g			AT2019uky ZTF19acqprad	99	99	23.09	99	99	21.484				99	99	22.012	99	99	21.334
2019-11a	00 : 42 : 30.37	 + 41 : 03 : 29.5	1	Y	2458789.76	17.2		w			AT2019uiz ZTF19acnfsij	23.79	0.156	99	20.75	0.146	99	22.554	0.23	99	99	99	22.083	99	99	21.526
2019-10i	00 : 42 : 40.64	 + 41 : 07 : 45.8	1	N	2458786.26	18.1		w			AT2019tsc PNV J00424064+4107458	99	99	24.054	99	99	23.908	99	99	22.626	99	99	22.083	99	99	21.526
2019-10c	00 : 43 : 01.56	 + 41 : 17 : 59.6	1	Y	2458776.28	16.8		r			AT2019sxc PNV J00430155+4117599	21.849	0.056	99	20.641	0.065	99	20.222	0.072	99	99	99	22.037	99	99	21.471
2019-10a	00 : 42 : 23.53	 + 41 : 11 : 52.2	1	Y	2458759.3	18.3		w			AT2019rsi ZTF19acbzgog	22.593	0.073	99	22.305	0.334	99	21.726	0.101	99	99	99	22.083	99	99	21.526
2019-09d	00 : 44 : 10.73	 + 41 : 54 : 22.0	10	N	2458749.14	17.8		V			PNV J00441073+4154220 AT2017zg	99	99	22.877	99	99	22.168				99	99	23.069			
2019-09b	00 : 42 : 42.32	 + 41 : 17 : 45.8	1	Y	2458740.28	16.9		R			PNV J00424232+4117458 AT2019qcg	22.638	0.071	99	21.863	0.095	99	21.364	0.113	99	99	99	21.915	99	99	21.054
2019-09c	00 : 40 : 40.02	 + 40 : 40 : 12.2	14	N	2458732.97	19.2		r			AT2019puh ZTF19abxnerq	99	99	22.79				99	99	22.474						
2019-09a	00 : 42 : 37.16	 + 41 : 16 : 45.4	1	N	2458729.04	16		w			PNV J00423716+4116454	99	99	23.041	99	99	22.125	99	99	22.224	99	99	21.758	99	99	21.084
2019-08b	00 : 44 : 18.25	 + 41 : 32 : 47.2	2	Y	2458725.44	16.9		w			AT2019pih TCP J00441808+4132477	22.534	0.063	99	99	99	21.484				99	99	22.012	99	99	21.334
2019-09f	00 : 43 : 49.50	 + 41 : 26 : 02.8	2	N	2458719.35	19		w			PNV J00434950+4126028	99	99	22.761	99	99	21.484				99	99	21.567	99	99	21.256
2019-08a	00 : 42 : 38.28	 + 41 : 12 : 42.3	1	N	2458700.08	16		R			PNV J00423828+4113423 AT2019msk	99	99	23.511	99	99	22.742	99	99	22.939	99	99	22.013	99	99	21.459
2019-07a	00 : 42 : 55.66	 + 41 : 14 : 12.5	1	N	2458673.45	16.7		R			RN M31N 1960-12a	99	99	23.629	99	99	22.775	99	99	22.946	99	99	22.004	99	99	21.461
2019-07c	00 : 43 : 00.90	 + 41 : 19 : 19.4	1	Y	2458672.51	15.9		R			PNV J00430090+4119194	22.386	0.054	99	21.635	0.08	99	21.121	0.094	99	99	99	22.071	99	99	21.302
2019-07b	00 : 43 : 28.65	 + 41 : 06 : 04.0	1	N	2458667.18	17.9		w			PNV J00432865+4106040	99	99	23.879	99	99	23.267	99	99	22.626	99	99	22.083	99	99	21.526
2019-06b	00 : 42 : 41.73	 + 41 : 17 : 53.7	1	Y	2458661.56	17.3		w			PNV J00424173+4117537	23.343	0.122	99	22.649	0.184	99	22.373	0.175	99	99	99	21.765	99	99	21.031
2019-06a	00 : 45 : 53.84	 + 42 : 17 : 02.8	9	N	2458660.13	17		w			PNV J00455384+4217028 AT 2019jzj	99	99	23.104	99	99	22.336									
2019-05b	00 : 43 : 20.56	 + 41 : 25 : 42.3	1	N	2458632.39	17.4		w			AT2019gap XM12MZ PNV J00432058+4125426	99	99	24.198	99	99	23.652	99	99	22.626	99	99	22.083	99	99	21.526
2019-05a	00 : 42 : 21.98	 + 41 : 23 : 58.4	1	N	2458628.32	16.7		w			AT2019fyd XM11MZ PNV J00422198+4123584	99	99	24.183	99	99	23.361	99	99	22.626	99	99	22.083	99	99	21.526
2019-04c	00 : 42 : 41.74	 + 41 : 16 : 26.3	1	N	2458599.61	16.6		w			PNV J00424174+4116263	99	99	22.469	99	99	21.74	99	99	21.688	99	99	21.027	99	99	20.213
2019-04b	00 : 40 : 36.07	 + 40 : 42 : 33.1	14	N	2458598.72	17		w			AT2019ebb	99	99	22.79				99	99	22.474						
2019-04a	00 : 42 : 33.96	 + 41 : 13 : 57.7	1	N	2458589.62	17.3		w			PNV J00423396+4113577	99	99	23.343	99	99	22.538	99	99	22.612	99	99	21.95	99	99	21.119
2019-03a	00 : 42 : 20.03	 + 41 : 13 : 22.1	1	N	2458555.29	14.91	0.05	R	10.2	3	AT2019bsd XM363JR PNV J00421999+4113225	99	99	23.767	99	99	23.311	99	99	22.928	99	99	22.083	99	99	21.526
2019-02a	00 : 42 : 51.00	 + 41 : 21 : 03.8	1	N	2458518.05	18.8		w			AT2019akn XM09MZ PNV J00425100+4121038	99	99	23.899	99	99	23.179	99	99	22.626	99	99	22.083	99	99	21.526
2019-01e	00 : 43 : 54.57	 + 41 : 17 : 33.0	1	N	2458511.96	17.5		w			PNV J00435457+4117330 AT2019aif	99	99	23.264	99	99	22.499	99	99	22.626	99	99	22.083	99	99	21.526
2019-01f	00 : 42 : 29.25	 + 41 : 14 : 00.3	1	N	2458511.24	16.7		oA			AT2019agt PNV J00422916+4114013	99	99	23.419	99	99	22.666	99	99	22.644	99	99	22.028	99	99	21.255
2019-01c	00 : 42 : 02.90	 + 41 : 07 : 14.2	1	N	2458504.44	18.2		R			PNV J00420290+4107142	99	99	23.264	99	99	22.499	99	99	22.626	99	99	22.083	99	99	21.526
2019-01b	00 : 42 : 45.03	 + 41 : 14 : 24.8	1	N	2458504.44	18		R			PNV J00424503+4114248	99	99	23.015	99	99	22.228	99	99	22.15	99	99	21.616	99	99	20.963
2019-01a	00 : 45 : 59.36	 + 41 : 56 : 29.7	8	N	2458499.31	17.1		w			AT2019tp MASTER OT J004559.36+415629.7	99	99	24.161	99	99	23.58				99	99	22.055	99	99	21.441
2019-01d	00 : 43 : 00.08	 + 41 : 18 : 34.0	1	N	2458485.25	19.1		R			AT2019yw XM08MZ PNV J00430008+4118340	99	99	23.673	99	99	22.85	99	99	22.95	99	99	22.083	99	99	21.444
2018-12f	00 : 42 : 26.24	 + 41 : 04 : 00.9	1	N	2458483.36	16.4		w			AT2018lcl	99	99	24.247	99	99	24.596	99	99	22.626	99	99	22.083	99	99	21.526
2018-12e	00 : 42 : 43.80	 + 41 : 17 : 20.8	1	N	2458475.6	15.5		w			AT2018klr XM07MZ PNV J00424380+4117208	99	99	22.981	99	99	22.227	99	99	22.197	99	99	21.568	99	99	20.751
2018-12d	00 : 43 : 24.62	 + 41 : 20 : 22.3	1	Y	2458474.09	18.6		G			AT2018kjt XM06MZ PNV J00432462+4120222	23.374	0.095	99	22.936	0.163	23.249	22.483	0.145	99	99	99	22.083	99	99	21.526
2018-12c	00 : 39 : 44.80	 + 40 : 35 : 34.5	14	N	2458470.16	16.2		w			AT2018kcd MASTER OT J003944.84+403535.5	99	99	22.79				99	99	22.474						
2018-12b	00 : 42 : 42.41	 + 41 : 19 : 41.1	1	N	2458470.05	17.6		w			AT2018kaf XM05MZ PNV J00424241+4119411	99	99	23.729	99	99	22.947	99	99	22.626	99	99	22.083	99	99	21.526
2018-12a	00 : 42 : 40.65	 + 41 : 11 : 08.0	1	Y	2458455.32	18		R			AT2018jib XM04MZ PNV J00424065+4111080	25.526	0.524	99	23.098	0.279	99	22.649	0.225	99	99	99	22.083	99	99	21.526
2018-11b	00 : 43 : 44.56	 + 41 : 27 : 52.4	2	N	2458449.28	16.4		oA			AT2018jas ATLAS18zny	99	99	23.497	99	99	21.484				99	99	22.012	99	99	21.334
2018-11a	00 : 45 : 28.88	 + 41 : 54 : 09.7	8	N	2458429.3	18.5		R			RN M31N 2008-12a	99	99	22.983	99	99	24.405				99	99	22.055	99	99	21.441
2018-10d	00 : 42 : 54.96	 + 41 : 12 : 28.8	1	N	2458417.62	17.2		w			AT2018hoo XMr6ZX GSNST 2018-ai kait-18ax	99	99	23.638	99	99	22.862	99	99	22.626	99	99	22.083	99	99	21.526
2018-10c	00 : 42 : 03.10	 + 41 : 02 : 33.1	3	N	2458406.96	16.3		oA			TCPJ00420310+4102331 AT2018hldATLAS18xcg	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2018-10b	00 : 42 : 40.13	 + 41 : 17 : 26.9	1	N	2458405.32	17.5		w			AT2018hho PNV J004224012+4117273	99	99	23.373	99	99	22.518	99	99	22.544	99	99	22.083	99	99	21.286
2018-10a	00 : 42 : 49.90	 + 41 : 23 : 34.8	1	N	2458402.1	17.9		R			AT2018hfs XM146QY PNV J00424990+4123348	99	99	23.355	99	99	22.631	99	99	22.628	99	99	22.197	99	99	21.526
2018-09a	00 : 44 : 19.81	 + 41 : 29 : 25.8	2	N	2458364.46	17.7		w			AT2018fsy Gaia18cof	99	99	23.391	99	99	21.484				99	99	22.012	99	99	21.334
2018-08d	00 : 45 : 15.86	 + 42 : 10 : 27.3	11	N	2458349.91	17.9		w			AT2018fjw Gaia18coe PNVJ00451587+4210269	99	99	23.267	99	99	22.315				99	99	22.544	99	99	22.398
2018-08b	00 : 39 : 21.90	 + 40 : 15 : 48.8	15	Y	2458344.08	18.2		w			PNV J00392190+4015488	21.349	0.076	99				21.129	0.046	99						
2018-08a	00 : 42 : 42.14	 + 41 : 14 : 45.7	1	N	2458331.6	17.5		R			PNV J00424214+4114457	99	99	22.912	99	99	22.426	99	99	22.114	99	99	21.609	99	99	20.743
2018-07d	00 : 42 : 50.74	 + 41 : 15 : 46.1	1	N	2458330.59	19.1		w			AT2018ely PNV J00425074+4115461	99	99	22.264	99	99	22.499	99	99	22.081	99	99	21.544	99	99	20.732
2018-07c	00 : 42 : 52.61	 + 41 : 18 : 40.9	1	N	2458314.5	18.6		w			PNV J00425261+4118409	99	99	23.362	99	99	22.61	99	99	22.648	99	99	22.044	99	99	21.468
2018-07b	00 : 42 : 07.64	 + 41 : 19 : 44.0	1	N	2458312.25	16.4		w			PNV J00420765+4119438	99	99	24.262	99	99	23.466	99	99	22.626	99	99	22.083	99	99	21.526
2018-07a	00 : 41 : 48.91	 + 41 : 09 : 14.2	1	N	2458299.53	17.4		w			PNV J00414889+4109148	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2018-06b	00 : 42 : 41.44	 + 41 : 17 : 37.7	1	N	2458295.51	17.1		w			PNV J00424144+4117377	99	99	23.237	99	99	22.533	99	99	22.614	99	99	21.94	99	99	20.946
2018-06a	00 : 42 : 19.67	 + 40 : 56 : 40.7	3	N	2458282.67	17.7		w			AT2018cmi	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2018-06c	00 : 40 : 11.00	 + 40 : 35 : 59.0	14	N	2458272.26	18.8		G			Gaiabks AT2018cgz	99	99	22.79				99	99	22.744						
2018-05b	00 : 43 : 42.13	 + 41 : 22 : 34.7	1	N	2458256.68	16.6		w			AT2018bto Gaia18bkp PNVJ00434212+4122349	99	99	22.905	99	99	21.484				99	99	22.094	99	99	21.334
2018-05a	00 : 45 : 34.90	 + 41 : 57 : 40.4	8	Y	2458246.7	16.6		w			AT2018bgr	22.169	0.085	99	21.406	0.108	99				99	99	22.055	99	99	21.441
2018-04d	00 : 41 : 14.36	 + 40 : 56 : 17.5	3	N	2458238.72	17.6		w			AT2018bcy	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2018-04c	00 : 41 : 53.53	 + 41 : 14 : 12.1	1	N	2458235.62	17.5		w			PNV J00415353+4114121	99	99	23.264	99	99	22.499	99	99	22.626	99	99	22.083	99	99	21.526
2018-04b	00 : 42 : 18.95	 + 41 : 13 : 52.4	1	N	2458227.62	16.9		R			PNV J00421895+4113524	99	99	23.774	99	99	23.004	99	99	22.626	99	99	22.083	99	99	21.526
2018-04a	00 : 42 : 55.09	 + 41 : 19 : 00.9	1	N	2458212.29	17		R			PNV J00425509+4119009	99	99	23.606	99	99	22.854	99	99	22.964	99	99	22.083	99	99	21.457
2018-03c	00 : 42 : 40.39	 + 41 : 12 : 51.6	1	N	2458198.28	17.5		R			AT2018ajt PNV J00424041+4112522	99	99	23.464	99	99	22.69	99	99	22.924	99	99	22.012	99	99	21.461
2018-03b	00 : 45 : 21.33	 + 41 : 12 : 28.7	7	N	2458185.25	19		R				99	99	22.926	99	99	22.255				99	99	22.233	99	99	22.087
2018-03a	00 : 43 : 44.10	 + 41 : 37 : 23.1	2	N	2458185.25	16.3		R				99	99	23.243	99	99	21.484				99	99	22.012	99	99	21.334
2018-02b	00 : 41 : 50.59	 + 41 : 25 : 49.9	5	N	2458172.1	17.9		w			AT2018ya PNV J00415059+4125499	99	99	23.237	99	99	22.382				99	99	22.517	99	99	22.202
2018-02a	00 : 42 : 34.41	 + 40 : 44 : 26.0	6	N	2458156.88	16.5		w			PNV J00423439+4044255 AT2018pp	99	99	23.272				99	99	24.088						
2018-01b	00 : 43 : 15.77	 + 41 : 18 : 39.3	1	N	2458131.72	17.8		w			AT2018eq PNV J00431577+4118393	99	99	23.783	99	99	23.047	99	99	22.626	99	99	22.083	99	99	21.526
2018-01a	00 : 44 : 42.25	 + 41 : 42 : 44.9	2	N	2458128.74	17.8		Rc			PNV J00444425+4142449 AT2018gw	99	99	23.661	99	99	21.484				99	99	22.012	99	99	21.334
2017-12e	00 : 45 : 28.88	 + 41 : 54 : 09.7	8	N	2458119.27	18.2		R			RN M31N 2008-12a	99	99	22.983	99	99	24.405				99	99	22.055	99	99	21.441
2017-12a	00 : 43 : 29.46	 + 41 : 17 : 13.7	1	N	2458111.57	18.5	0.15	R	2.7	0.1	RN M31N 2007-10b AT2017jdm	99	99	23.875	99	99	22.947	99	99	22.626	99	99	22.083	99	99	21.526
2017-12d	00 : 43 : 56.00	 + 41 : 32 : 11.3	2	N	2458103.24	19.5		w			AT2017ixs MASTER OT J004355.89+413209.9	99	99	23.56	99	99	21.484				99	99	22.012	99	99	21.334
2017-12b	00 : 44 : 01.52	 + 41 : 30 : 18.4	2	N	2458103.24	17.4		V			AT2017ixr	99	99	23.352	99	99	21.484				99	99	22.012	99	99	21.334
2017-11f	00 : 42 : 57.89	 + 41 : 18 : 44.7	1	N	2458076.9	16.6		w			PNV J00425789+4118447 AT2017ilm	99	99	23.519	99	99	22.755	99	99	22.951	99	99	22.083	99	99	21.526
2017-11e	00 : 43 : 04.19	 + 41 : 15 : 15.5	1	N	2458074.01	16.4	0.1	R	4.7	1.2	PNV J00430419+4115155	99	99	23.725	99	99	23.037	99	99	22.96	99	99	22.083	99	99	21.526
2017-11d	00 : 42 : 43.32	 + 41 : 17 : 15.5	1	N	2458069.49	15.8		r				99	99	22.894	99	99	22.241	99	99	22.048	99	99	21.604	99	99	20.793
2017-11c	00 : 41 : 44.35	 + 41 : 08 : 28.7	3	N	2458069.01	17.4		w			TCP J00414435+4108287	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2017-11b	00 : 41 : 32.22	 + 41 : 07 : 17.3	3	N	2458067.46	18.5		w			AT2017hxw	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2017-10b	00 : 42 : 50.23	 + 41 : 15 : 27.1	1	N	2458057.1	17.3	0.15	R	33.6	11.6	AT2017hqq PNV J00425023+4115271	99	99	22.264	99	99	22.499	99	99	22.091	99	99	21.518	99	99	20.572
2017-11a	00 : 42 : 54.22	 + 41 : 30 : 42.3	5	N	2458055.35	17.7		w			AT2017hvi PTSS-17zap	99	99	23.237	99	99	22.381				99	99	22.517	99	99	22.202
2017-10a	00 : 42 : 39.05	 + 41 : 23 : 00.5	1	N	2458040.54	17.5		R			PNV J00423905+4123006	99	99	24.093	99	99	23.385	99	99	22.626	99	99	22.083	99	99	21.526
2017-09e	00 : 42 : 12.19	 + 41 : 10 : 19.2	1	N	2458020.94	16.4		w			PNV J00421219+4110192	99	99	23.956	99	99	23.478	99	99	22.626	99	99	22.083	99	99	21.526
2017-09d	00 : 42 : 47.08	 + 41 : 16 : 00.3	1	N	2458014.16	17		w			AT2017gud PSP17D	99	99	22.264	99	99	21.556	99	99	22.626	99	99	20.861	99	99	20.02
2017-09c	00 : 43 : 16.10	 + 41 : 20 : 08.3	1	N	2458010.35	17.5		w			AT2017gsc	99	99	23.952	99	99	23.216	99	99	22.626	99	99	22.083	99	99	21.526
2017-09b	00 : 42 : 58.94	 + 41 : 26 : 27.2	1	N	2458005.36	17		w			AT2017gqw kait-17bw PNVJ00425895+4126279	99	99	24.178	99	99	23.309	99	99	22.626	99	99	22.083	99	99	21.526
2017-09a	00 : 44 : 08.72	 + 41 : 43 : 36.7	2	N	2457998.28	17.8		w			PNV J00440872+4143367 AT2017glc	99	99	23.474	99	99	21.484				99	99	22.012	99	99	21.334
2017-08a	00 : 42 : 38.95	 + 41 : 15 : 17.1	1	N	2457969.34	17.45	0.1	R	20.6	3.7	PNV J00423895+4115171	99	99	22.779	99	99	22.094	99	99	22.084	99	99	21.564	99	99	20.636
2017-07e	00 : 42 : 47.21	 + 41 : 16 : 51.2	1	N	2457966.32	17.5		w			AT2017fvb XM13AL	99	99	22.641	99	99	21.593	99	99	21.747	99	99	21.189	99	99	20.34
2017-07d	00 : 39 : 04.48	 + 40 : 46 : 04.1	14	N	2457955.13	17		w			PNV J00390448+4046041	99	99	22.758				99	99	22.913						
2017-07c	00 : 42 : 41.26	 + 41 : 16 : 10.2	1	N	2457954.38	16.1		R			PNV J00424126+4116102	99	99	22.215	99	99	21.734	99	99	21.559	99	99	20.962	99	99	20.229
2017-07b	00 : 43 : 15.04	 + 41 : 20 : 50.6	1	N	2457954.38	18.1		R			AT2017fog XMd3ZX PNVJ00431504+4120506	99	99	23.928	99	99	23.226	99	99	22.626	99	99	22.083	99	99	21.526
2017-07a	00 : 43 : 14.50	 + 41 : 33 : 57.2	2	N	2457953.6	17.1		w			AT2017foa	99	99	23.56	99	99	21.484				99	99	22.012	99	99	21.334
2017-06j	00 : 42 : 59.62	 + 41 : 21 : 29.0	1	N	2457934.48	18.5		R			PNV J00425962+4121290	99	99	23.614	99	99	22.891	99	99	22.954	99	99	22.083	99	99	21.526
2017-06i	00 : 41 : 27.19	 + 41 : 03 : 54.4	3	N	2457925.7	18.3		w			MASTER OT J004127.19+410354.4	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
